ID;NAME;EVA_ID
UBL;Bad Blankenburg(Thüringerw);8010014
KBOD;Bad Bodendorf;8001049
HBOD;Bad Bodenteich;8001052
DBM;Bad Brambach;8011068
ABSD;Bad Bramstedt;8007058
ABSK;Bad Bramstedt Kurhaus;8007057
KBRE;Bad Breisig;8000694
FCA;Bad Camberg;8001322
WDO;Bad Doberan;8010016
WDOG;Bad Doberan Goethestraße;8011069
WDOS;Bad Doberan Stadtmitte;8081085
HBDG;Bad Driburg(Westf);8000697
RBDH;Bad Dürkheim;8000698
RBDT;Bad Dürkheim-Trift;8000708
LDBG;Bad Dürrenberg;8011071
DBEL;Bad Elster;8011072
MBEP;Bad Empfing;8000700
FEMS;Bad Ems;8000701
FEMW;Bad Ems West;8000702
MBEF;Bad Endorf;8001787
HFAL;Bad Fallingbostel;8001958
WFW;Bad Freienwalde;8010017
TBF;Bad Friedrichshall Hbf;8000017
TBK;Bad Friedrichshall-Kochendorf;8000704
HBGM;Bad Gandersheim;8000352
RBGR;Bad Griesbach(Schwarzwald);8000707
MGNB;Bad Grönenbach;8002378
HBHA;Bad Harzburg;8000019
RHLB;Bad Herrenalb;8007011
FBHF;Bad Hersfeld;8000020
MBHT;Bad Höhenstadt;8000710
FHO;Bad Homburg;8000712
KHF;Bad Honnef Stadtbahn;8070073
KHBD;Bad Honnef(Rhein);8000713
KHGB;Bad Hönningen;8000711
TIMN;Bad Imnau;8070309
HKRF;Bad Karlshafen;8003182
NBKI;Bad Kissingen;8000714
WK;Bad Kleinen;8010018
MBKG;Bad Kohlgrub;8000716
MBKK;Bad Kohlgrub Kurhaus;8000717
FKI;Bad König;8000715
FZK;Bad König Zell;8006643
UKO;Bad Kösen;8010019
UBKZ;Bad Köstritz;8011074
NKZ;Bad Kötzting;8003393
SBKN;Bad Kreuznach;8000021
RBKR;Bad Krozingen;8000718
RBKO;Bad Krozingen Ost;8007330
ELSP;Bad Laasphe;8003486
ENL;Bad Laasphe-Niederlaasphe;8003493
ULS;Bad Langensalza;8010020
LBLS;Bad Lausick;8011077
HBLB;Bad Lauterberg im Harz Barbis;8005324
BBLW;Bad Liebenwerda;8011078
TBLI;Bad Liebenzell;8000721
ULB;Bad Lobenstein;8013452
AMAG;Bad Malente-Gremsmühlen;8003829
TBMR;Bad Mergentheim;8000724
HMDD;Bad Münder(Deister);8000725
SBMS;Bad Münster a Stein;8000726
KMUE;Bad Münstereifel;8000727
KARL;Bad Münstereifel-Arloff;8000601
KIV;Bad Münstereifel-Iversheim;8003104
FBNA;Bad Nauheim;8000728
HNDF;Bad Nenndorf;8000022
KNEB;Bad Neuenahr;8000729
NBNE;Bad Neustadt(Saale);8000730
TBN;Bad Niedernau;8000731
HOY;Bad Oeynhausen;8000732
HBOE;Bad Oeynhausen Süd;8000733
AO;Bad Oldesloe;8000023
RBPL;Bad Peterstal;8000734
HPRT;Bad Pyrmont;8000735
RBRA;Bad Rappenau;8000736
RBPK;Bad Rappenau Kurpark;8000777
MBRL;Bad Reichenhall;8000737
MBRK;Bad Reichenhall-Kirchberg;8000738
NRC;Bad Rodach;8005112
RRO;Bad Rotenfels Bf;8005183
RROG;Bad Rotenfels Schloss;8005186
RROW;Bad Rotenfels Weinbrennerstraße;8005187
BBSP;Bad Saarow;8011079
BBSK;Bad Saarow Klinikum;8010028
HSCH;Bad Sachsa;8000739
RSAE;Bad Säckingen;8005255
HBSA;Bad Salzdetfurth;8000740
HBSK;Bad Salzdetfurth Solebad;8000759
FBSH;Bad Salzhausen;8000741
FSF;Bad Salzschlirf;8000743
EBSU;Bad Salzuflen;8000744
USZ;Bad Salzungen;8010021
EBSA;Bad Sassendorf;8000745
TSL;Bad Saulgau;8005301
DSA;Bad Schandau;8010022
DSUB;Bad Schlema;8012873
RBS;Bad Schönborn Süd;8003533
RBSK;Bad Schönborn-Kronau;8004032
TBSC;Bad Schussenried;8000746
ASCH;Bad Schwartau;8000749
TBSB;Bad Sebastiansweiler-Belsen;8000750
ASB;Bad Segeberg;8000751
SSOB;Bad Sobernheim;8005583
FBSO;Bad Soden(Taunus);8000752
FBSS;Bad Soden-Salmünster;8005261
FBSD;Bad Sooden-Allendorf;8000753
APSD;Bad St Peter Süd;8000754
APO;Bad St Peter-Ording;8000755
NSFN;Bad Staffelstein;8005670
NBST;Bad Steben;8000756
LSUR;Bad Suderode;8011084
UBS;Bad Sulza;8011085
UBSN;Bad Sulza Nord;8011086
TBT;Bad Teinach-Neubulach;8000757
